Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
ETHANOL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,19/02/2025 07:00:00,1
FERTILIZANTES,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp,11/01/2025 15:16:00; 19/01/2025 19:00:00; 16/02/2025 12:50:00; 17/02/2025; 17/02/2025 15:00:00; 18/02/2025; 18/02/2025 10:00:00; 20/02/2025 07:00:00; 20/02/2025 10:00:00; 21/02/2025 10:00:00; 21/02/2025 13:00:00; 22/02/2025; 22/02/2025 05:00:00,13
GAS LIQUEFEITO,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp; Imp,08/02/2025 13:42:00; 27/02/2025 16:18:00,2
GASOLINA COMUM,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,17/02/2025,1
GRAN.LIQUIDO NAO ESPECIF,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp; Imp; Imp; Imp; Imp; Exp; Exp; Imp,06/01/2025 09:30:00; 14/02/2025 02:30:00; 17/02/2025 16:00:00; 18/02/2025; 19/02/2025 07:00:00; 20/02/2025; 20/02/2025 06:00:00; 22/02/2025 06:00:00,8
GRAN.LIQUIDO NAO ESPECIF,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 23/02/2025 07:00:00,2
GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp/Exp,20/02/2025,1
GRAN.SOLIDO NAO ESPECIF,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,22/02/2025 19:00:00,1
GRAN.SOLIDO NAO ESPECIF,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,19/02/2025 22:00:00,1
OLEO COMBUSTIVEL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,16/02/2025 09:00:00; 17/02/2025; 17/02/2025; 19/02/2025 11:48:00,4
OLEO DIESEL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Imp; Imp,29/01/2025 14:15:00; 06/02/2025 15:18:00; 15/02/2025 15:30:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 04:00:00; 18/02/2025 05:00:00; 19/02/2025 05:00:00,14
OLEO VEGETAL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,16/02/2025 03:00:00,1
OLEO VEGETAL,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp,23/02/2025 18:00:00,1
OUTROS,PRIORIDADE C5,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,17/01/2025 05:48:00; 17/02/2025; 17/02/2025; 17/02/2025,4
PAPEL E CELULOSE,CABOTAGEM,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 17/02/2025,2
PAPEL E CELULOSE,PRIORIDADE C5,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 17/02/2025,2
PAPEL E CELULOSE,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,06/02/2025 00:29:00; 17/02/2025; 18/02/2025 06:00:00; 27/02/2025 07:00:00,4
PELLETS A GRANEL,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,14/02/2025 11:30:00; 15/02/2025 08:00:00; 17/02/2025 15:00:00; 26/02/2025 08:00:00,4
PRODUTOS SIDERURGICOS PRODUTOS SIDERURGICOS,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,20/02/2025,1
SAL A GRANEL,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,18/02/2025 05:00:00,1
SODA CAUSTICA,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,18/02/2025 13:00:00,1
SOJA A GRANEL,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,24/01/2025 22:48:00; 01/02/2025 10:42:00; 01/02/2025 14:00:00; 02/02/2025 18:54:00; 03/02/2025 05:36:00; 04/02/2025 07:42:00; 04/02/2025 10:54:00; 04/02/2025 15:30:00; 06/02/2025 22:30:00; 06/02/2025 22:45:00; 08/02/2025 08:30:00; 08/02/2025 19:00:00; 09/02/2025 00:01:00; 09/02/2025 00:01:00; 10/02/2025 11:45:00; 10/02/2025 13:30:00; 11/02/2025 11:30:00; 11/02/2025 21:00:00; 12/02/2025 08:30:00; 12/02/2025 10:00:00; 12/02/2025 11:20:00; 12/02/2025 14:00:00; 12/02/2025 16:18:00; 13/02/2025 04:36:00; 13/02/2025 11:42:00; 14/02/2025 14:20:00; 14/02/2025 18:30:00; 14/02/2025 23:30:00; 15/02/2025 22:18:00; 16/02/2025 00:24:00; 16/02/2025 14:15:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 00:24:00; 17/02/2025 11:15:00; 17/02/2025 14:00:00; 18/02/2025 10:00:00; 18/02/2025 10:00:00; 19/02/2025 08:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00; 21/02/2025 08:00:00; 22/02/2025 18:00:00; 23/02/2025 08:00:00,47
SOJA A GRANEL FERTILIZANTES,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp/Exp,04/01/2025 15:00:00,1
SUCOS CITRICOS A GRANEL,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,22/02/2025 08:00:00,1
VEICULO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025 02:24:00; 23/02/2025; 24/02/2025; 06/03/2025; 12/03/2025; 12/03/2025,6
VEICULO VEICULO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,17/02/2025 02:12:00; 23/02/2025,2
VEICULO VEICULO,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,17/02/2025,1
VEICULOS/VRS/CCS.RO-RO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,18/02/2025 01:00:00,1
VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp; Imp/Exp,17/02/2025 02:42:00; 21/02/2025 01:00:00; 21/02/2025 01:00:00,3
